   0.000000,       0,    0.000000,       0
   0.000023,    7016,    0.006289,     843
   0.003109,   14434,    0.009630,    2904
   0.006166,   14434,    0.012807,    2904
   0.009172,    9773,    0.015932,    2904
   0.012292,    9773,    0.018993,    2903
   0.015372,     608,    0.022044,    2902
   0.018481,   14202,    0.024797,   12133
   0.021802,     553,    0.027910,    7343
   0.024362,     610,    0.031129,    2904
   0.027357,     609,    0.034268,    2904
   0.030386,     608,    0.037398,    2904
   0.033484,     608,    0.040516,    2904
   0.036591,     608,    0.043577,    2903
   0.039676,     608,    0.046628,    2902
   0.042759,    6147,    0.049770,    4866
   0.046398,   14190,    0.052895,    4866
   0.048724,     610,    0.056001,    4866
   0.051719,     609,    0.059117,    4866
   0.054748,     608,    0.062196,    4865
   0.057820,    6147,    0.065837,    2886
   0.060882,    6147,    0.069014,    2886
   0.063953,    6147,    0.072139,    2886
   0.067024,    6147,    0.075241,    2885
   0.070687,   14119,    0.078345,    2884
   0.073091,    6150,    0.081453,    2883
   0.076079,    6149,    0.083805,    1515
   0.079081,    6148,    0.087336,    2886
   0.082083,    6147,    0.090475,    2886
   0.085146,    6147,    0.093605,    2886
   0.088220,    6147,    0.096723,    2886
   0.091286,    6147,    0.099825,    2885
   0.094953,   14119,    0.102929,    2884
   0.097653,   10481,    0.106037,    2883
   0.100651,   10480,    0.108804,    8643
   0.103714,   10480,    0.111908,    8642
   0.106787,   10480,    0.115012,    8641
   0.109861,   10480,    0.118106,    8641
   0.112924,   10641,    0.121185,    2886
   0.116003,   10640,    0.124466,    4869
   0.119242,   14119,    0.127602,    4868
   0.121923,   10481,    0.130723,    4867
   0.124921,   10480,    0.134055,    4866
   0.128001,   10480,    0.137163,    4866
   0.131065,   10635,    0.140262,    4866
   0.134139,   10634,    0.143374,    4866
   0.137202,   10633,    0.146453,    4865
   0.140274,   10632,    0.149955,    2859
   0.143526,   14119,    0.153132,    2859
   0.146212,   10481,    0.156257,    2859
   0.149210,   10480,    0.159369,    2858
   0.152286,   10480,    0.162476,    2857
   0.155332,   10627,    0.165592,    2856
   0.158402,   10626,    0.167937,    6094
   0.161468,   10625,    0.171454,    2859
   0.164561,   10624,    0.174593,    2859
   0.167680,   14119,    0.177723,    2859
   0.170501,   10481,    0.180841,    2859
   0.173499,   10480,    0.183953,    2858
   0.176574,   10480,    0.187060,    2857
   0.179573,   10619,    0.190176,    2856
   0.182580,   10618,    0.192531,    9437
   0.185591,   10617,    0.195964,    2859
   0.188604,   10616,    0.199079,    2859
   0.191740,   14119,    0.202195,    2859
   0.194634,   10611,    0.205307,    2858
   0.197623,   10611,    0.208415,    2858
   0.200625,   10611,    0.211530,    2856
   0.203617,   10611,    0.214638,    2856
   0.206630,   10610,    0.217491,    4866
   0.209647,   10609,    0.220607,    4866
   0.212657,   10608,    0.223922,    4810
   0.216242,   10868,    0.227047,    4810
   0.218731,   10603,    0.230523,    2859
